,f_location,latitude,longitude,location
0,"Bazao Village, Pudong, Shanghai, China, 201299",31.15621,121.71751,八灶村郭家宅
1,"Bazao Village, Pudong, Shanghai, China, 201299",31.15621,121.71751,八灶村周家宅
2,"Bai Yang Lu, Shang Hai Shi, China",31.21182,121.55454,白杨路1065弄
3,"Ban Quan Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.16262,121.51177,板泉路1201弄
4,"Ban Quan Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.16262,121.51177,板泉路2000弄
5,"Ban Quan Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.16262,121.51177,板泉路2101弄
6,"Ban Quan Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.16262,121.51177,板泉路25号
7,"Bei Ai Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200125",31.1824964,121.533481,北艾路1077弄
8,"China, Shang Hai Shi, Huang Pu Qu, 浦东北艾路1200弄 邮政编码: 200003",31.224354,121.475908,北艾路1200弄
9,"Bei Ai Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200125",31.1824964,121.533481,北艾路1500弄
10,"Bei Ai Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200125",31.1824964,121.533481,北艾路155弄
11,"Bei Ai Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200125",31.1824964,121.533481,北艾路1660弄
12,"Bei Ai Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200125",31.1824964,121.533481,北艾路1765弄
13,"Bei Cai Da Jie, Pu Dong Xin Qu, Shang Hai Shi, China, 200125",31.18733,121.55338,北蔡大街31弄
14,"Bei Xin Yuan Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.3227437,121.6257016,北新园路460弄
15,"China, Shang Hai Shi, Pu Dong Xin Qu, 洋泾港北洋泾路601号 邮政编码: 200135",31.24333,121.55097,北洋泾路601号
16,"Bei Yuan Lu, Tangqiao, Pu Dong Xin Qu, Shang Hai Shi, China, 200127",31.20461,121.523,北园路258弄
17,"China, Shang Hai Shi, Pu Dong Xin Qu, 北张家浜路68号 邮政编码: 200127",31.21636999999999,121.52109,北张家浜路68号
18,"China, Shang Hai Shi, Pu Dong Xin Qu, 北中路175弄 邮政编码: 200125",31.183306,121.555316,北中路175弄
19,"China, Shang Hai Shi, Pu Dong Xin Qu, 北中路280弄 邮政编码: 200125",31.183561,121.557488,北中路280弄
20,"Bei Zhong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.1841366,121.5613364,北中路480弄
21,"Beizhuangcun, Pudong, Shanghai, China, 201322",31.093989,121.657244,北庄村
22,"China, Shang Hai Shi, Pu Dong Xin Qu, 碧云路1198号 邮政编码: 201206",31.24287,121.58936,碧云路1198号
23,"Bi Yun Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.23858,121.58175,碧云路86弄
24,"Zhou Jia Du Lu, 周家渡 Pu Dong Xin Qu, Shang Hai Shi, China, 200126",31.182252,121.492017,博成路周家渡路交界口工地生活区
25,"Bo Hua Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.17799,121.54864,博华路1018弄
26,"Bo Hua Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.17799,121.54864,博华路300弄
27,"Bo Hua Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.17799,121.54864,博华路999弄
28,"Bo Shan Dong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.25255,121.56809,博山东路136弄
29,"Bo Shan Dong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.25255,121.56809,博山东路20弄
30,"Bo Shan Dong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.25255,121.56809,博山东路41弄
31,"Bo Shan Dong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.25255,121.56809,博山东路459弄
32,"Bo Shan Lu, 洋泾港 Pu Dong Xin Qu, Shang Hai Shi, China, 200135",31.24411,121.55455,博山路12弄
33,"Bo Shan Lu, 洋泾港 Pu Dong Xin Qu, Shang Hai Shi, China, 200135",31.24411,121.55455,博山路199弄
34,"Bo Shan Dong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.25255,121.56809,博山路200弄
35,"Bo Shan Lu, 洋泾港 Pu Dong Xin Qu, Shang Hai Shi, China, 200135",31.24411,121.55455,博山路50弄
36,"Bo Shan Lu, 洋泾港 Pu Dong Xin Qu, Shang Hai Shi, China, 200135",31.24411,121.55455,博山路51弄
37,"78 Bo Shan Dong Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200135",31.247744,121.560607,博山路78弄
38,"Bo Xing Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200129",31.26545,121.59201,博兴路1676弄
39,"Bo Xing Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200129",31.26545,121.59201,博兴路1768弄
40,"Bo Xing Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200129",31.26545,121.59201,博兴路250弄
41,"Bo Xing Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200129",31.26545,121.59201,博兴路462弄
42,"Bo Xing Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200129",31.26545,121.59201,博兴路465弄
43,"Bo Xing Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200129",31.26545,121.59201,博兴路616弄
44,"Bo Xing Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200129",31.26545,121.59201,博兴路760弄
45,"Bo Xing Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200129",31.26545,121.59201,博兴路916弄
46,"Bo Xing Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200129",31.26545,121.59201,博兴路986弄
47,"Cailucun, Pudong, Shanghai, China, 201201",31.21525,121.72458,蔡路村
48,"Caohuangcun, Pudong, Shanghai, China, 201209",31.269226,121.690606,曹黄村
49,"Cao Gao Zhi Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.35137,121.57275,草高支路1118弄
50,"Chang Li Dong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.17756,121.51273,昌里东路190弄
51,"Chang Li Dong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.17756,121.51273,昌里东路333弄
52,"Chang Li Dong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.17756,121.51273,昌里东路395弄
53,"Chang Li Dong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.17756,121.51273,昌里东路411弄
54,"Chang Li Dong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.17756,121.51273,昌里东路500弄
55,"Chang Li Dong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.17756,121.51273,昌里东路650弄
56,"Chang Li Dong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.17756,121.51273,昌里东路71弄
57,"Chang Li Dong Lu, Pu Dong Xin Qu, Shang Hai Shi, China",31.17756,121.51273,昌里东路80弄
58,"Chang Li Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200126",31.17458,121.49671,昌里路167弄
59,"Chang Li Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200126",31.17458,121.49671,昌里路340弄
60,"China, Shang Hai Shi, Pu Dong Xin Qu, 昌里路357号 邮政编码: 200126",31.17344,121.48987,昌里路357号
61,"Chang Li Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 200126",31.17458,121.49671,昌里路98弄
